Date,Province,Commodity,Price
2020-02-01,KALIMANTAN TENGAH,Chili (red),55075.43
2020-02-01,KALIMANTAN TENGAH,"Chili (red, curly)",55129.31
2020-02-01,KALIMANTAN TENGAH,"Chili (red, large)",55021.55
2020-02-01,KALIMANTAN TIMUR,Chili (bird's eye),46344.255000000005
2020-02-01,KALIMANTAN TIMUR,"Chili (bird's eye, green)",44482.75833333333
2020-02-01,KALIMANTAN TIMUR,"Chili (bird's eye, red)",46243.45
2020-02-01,KALIMANTAN TIMUR,Chili (red),47044.828
2020-02-01,KALIMANTAN TIMUR,"Chili (red, curly)",41402.299999999996
2020-02-01,KALIMANTAN TIMUR,"Chili (red, large)",50186.78
2020-02-01,KALIMANTAN UTARA,Chili (bird's eye),83146.55
2020-02-01,KALIMANTAN UTARA,"Chili (bird's eye, green)",85948.275
2020-02-01,KALIMANTAN UTARA,"Chili (bird's eye, red)",80344.8275
2020-02-01,KALIMANTAN UTARA,Chili (red),55377.1575
2020-02-01,KALIMANTAN UTARA,"Chili (red, curly)",52715.5175
2020-02-01,KALIMANTAN UTARA,"Chili (red, large)",58038.795
2020-02-01,KEPULAUAN BANGKA BELITUNG,Chili (bird's eye),59866.07
2020-02-01,KEPULAUAN BANGKA BELITUNG,"Chili (bird's eye, green)",44767.8575
2020-02-01,KEPULAUAN BANGKA BELITUNG,"Chili (bird's eye, red)",58723.2125
2020-02-01,KEPULAUAN BANGKA BELITUNG,Chili (red),63770.090000000004
2020-02-01,KEPULAUAN BANGKA BELITUNG,"Chili (red, curly)",52540.1775
2020-02-01,KEPULAUAN BANGKA BELITUNG,"Chili (red, large)",75000.0
2020-02-01,KEPULAUAN RIAU,Chili (bird's eye),46048.276
2020-02-01,KEPULAUAN RIAU,"Chili (bird's eye, green)",46048.276
2020-02-01,KEPULAUAN RIAU,Chili (red),50406.896
2020-02-01,KEPULAUAN RIAU,"Chili (red, curly)",50406.896
2020-02-01,LAMPUNG,Chili (bird's eye),51926.7275
2020-02-01,LAMPUNG,"Chili (bird's eye, green)",36366.3775
2020-02-01,LAMPUNG,"Chili (bird's eye, red)",67487.07
2020-02-01,LAMPUNG,Chili (red),48456.89750000001
2020-02-01,LAMPUNG,"Chili (red, curly)",43655.1725
2020-02-01,LAMPUNG,"Chili (red, large)",55500.0
2020-02-01,MALUKU,Chili (bird's eye),48907.73666666667
2020-02-01,MALUKU,"Chili (bird's eye, green)",32285.71
2020-02-01,MALUKU,"Chili (bird's eye, red)",54606.48
2020-02-01,MALUKU,Chili (red),49140.6225
2020-02-01,MALUKU,"Chili (red, curly)",46383.9275
2020-02-01,MALUKU,"Chili (red, large)",50000.0
2020-02-01,MALUKU UTARA,Chili (bird's eye),70344.825
2020-02-01,MALUKU UTARA,"Chili (bird's eye, green)",71034.48
2020-02-01,MALUKU UTARA,"Chili (bird's eye, red)",66896.55
2020-02-01,MALUKU UTARA,Chili (red),39224.135
2020-02-01,MALUKU UTARA,"Chili (red, curly)",43534.48
2020-02-01,MALUKU UTARA,"Chili (red, large)",34913.79
2020-02-01,NUSA TENGGARA BARAT,Chili (bird's eye),38110.344
2020-02-01,NUSA TENGGARA BARAT,"Chili (bird's eye, green)",22064.655
2020-02-01,NUSA TENGGARA BARAT,"Chili (bird's eye, red)",48206.896
2020-02-01,NUSA TENGGARA BARAT,Chili (red),50879.31
2020-02-01,NUSA TENGGARA BARAT,"Chili (red, curly)",48893.102
2020-02-01,NUSA TENGGARA BARAT,"Chili (red, large)",54824.138
2020-02-01,NUSA TENGGARA TIMUR,Chili (bird's eye),77653.0175
2020-02-01,NUSA TENGGARA TIMUR,"Chili (bird's eye, green)",53426.725
2020-02-01,NUSA TENGGARA TIMUR,"Chili (bird's eye, red)",101861.2075
2020-02-01,NUSA TENGGARA TIMUR,Chili (red),66493.9675
2020-02-01,NUSA TENGGARA TIMUR,"Chili (red, curly)",67189.6575
2020-02-01,NUSA TENGGARA TIMUR,"Chili (red, large)",65794.39499999999
2020-02-01,PAPUA,Chili (bird's eye),50473.60400000001
2020-02-01,PAPUA,"Chili (bird's eye, green)",37437.88833333333
